data;totalMes
30/06/2014;87129294
31/07/2014;96455689
31/08/2014;92885400
30/09/2014;98029722
31/10/2014;102467266
30/11/2014;95476021
31/12/2014;101199764
31/01/2015;96315927
28/02/2015;88488765
31/03/2015;104875627
30/04/2015;102515371
31/05/2015;107102419
30/06/2015;111385699
31/07/2015;121374639
31/08/2015;122539142
30/09/2015;121391673
31/10/2015;130284630
30/11/2015;126697833
31/12/2015;138010929
31/01/2016;131260411
29/02/2016;131402657
31/03/2016;147525422
30/04/2016;143669839
31/05/2016;152572256
30/06/2016;154189112
31/07/2016;155000566
31/08/2016;168614751
30/09/2016;165825294
31/10/2016;169642429
30/11/2016;173321667
31/12/2016;184921201
31/01/2017;187703410
28/02/2017;165233584
31/03/2017;210869923
30/04/2017;198234084
31/05/2017;225418146
30/06/2017;220013343
31/07/2017;211035621
31/08/2017;218247920
30/09/2017;206162857
31/10/2017;223174323
30/11/2017;213070862
31/12/2017;249232467
31/01/2018;269868078
28/02/2018;225230379
31/03/2018;247527681
30/04/2018;247646464
31/05/2018;262403160
30/06/2018;266376344
31/07/2018;264845434
31/08/2018;278563024
30/09/2018;249296932
31/10/2018;277131385
30/11/2018;276836105
31/12/2018;293660929
31/01/2019;314426934
28/02/2019;293463475
31/03/2019;304668636
30/04/2019;334002532
31/05/2019;366071433
30/06/2019;328974948
31/07/2019;319003088
31/08/2019;380532993
